CC 1 (24);1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;;Desdob.;1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;GEOM ÁLG;COMPUTAÇÃO I;CÁLCULO;COMPUTAÇÃO I;;;;7:30;8:20;;COMPUTAÇÃO I (D);;COMPUTAÇÃO I (D);GEOM ÁLG (D);;
8:20;9:10;GEOM ÁLG;COMPUTAÇÃO I;CÁLCULO;COMPUTAÇÃO I;;;;8:20;9:10;FÍSICA (D);COMPUTAÇÃO I (D);FÍSICA (D);COMPUTAÇÃO I (D);GEOM ÁLG (D);;
9:30;10:20;GEOM ÁLG;COMPUTAÇÃO I;LÓGICA;CÁLCULO;;;;9:30;10:20;FÍSICA (D);COMPUTAÇÃO I (D);FÍSICA (D);;CÁLCULO (D)/GEOM ÁLG (D);;
10:20;11:10;GEOM ÁLG;;LÓGICA;CÁLCULO;;;;10:20;11:10;;;CÁLCULO (D);;GEOM ÁLG (D);;
11:10;12:00;INTRODUÇÃO;FÍSICA;LÓGICA;;FÍSICA;;;11:10;12:00;;;CÁLCULO (D);;;;
12:00;12:50;INTRODUÇÃO;FÍSICA;;;FÍSICA;;;12:00;12:50;;;;;;;
13:30;14:20;;;;;;;;13:30;14:20;;;;;;;
14:20;15:10;;;;;;;;14:20;15:10;;;;;;;
15:30;16:20;;;PROBABILIDADE;;;;;15:30;16:20;;;;;;;
16:20;17:10;;;PROBABILIDADE;;;;;16:20;17:10;;;;CÁLCULO (D);;;
17:10;18:00;;;;;;;;17:10;18:00;;;;;;;
18:00;18:50;;;;;;;;18:00;18:50;;;;;;;
18:50;19:40;;;;;;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;;2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;GEOM ÁLG;COMPUTAÇÃO I;CÁLCULO;COMPUTAÇÃO I;;;;7:30;8:20;;COMPUTAÇÃO I (D);;COMPUTAÇÃO I (D);GEOM ÁLG (D);;
8:20;9:10;GEOM ÁLG;COMPUTAÇÃO I;CÁLCULO;COMPUTAÇÃO I;;;;8:20;9:10;FÍSICA (D);COMPUTAÇÃO I (D);FÍSICA (D);COMPUTAÇÃO I (D);GEOM ÁLG (D);;
9:30;10:20;GEOM ÁLG;COMPUTAÇÃO I;LÓGICA;CÁLCULO;;;;9:30;10:20;FÍSICA (D);COMPUTAÇÃO I (D);FÍSICA (D);;CÁLCULO (D)/GEOM ÁLG (D);;
